question,answer,category,order_no,created_at
숙소 체크인 시간은 언제인가요?,일반적으로 오후 3시입니다. 숙소마다 상이할 수 있으니 예약 상세 페이지를 확인해 주세요.,숙소,1,2024-02-26 10:00:00
반려동물 동반이 가능한 숙소를 찾고 싶어요,검색 필터에서 '반려동물 동반' 옵션을 선택하시면 해당 숙소를 확인하실 수 있습니다.,숙소,2,2024-02-26 10:05:00
얼리 체크인이 가능한가요?,숙소 상황에 따라 가능 여부가 달라지며 추가 비용이 발생할 수 있습니다. 숙소 측에 문의 부탁드립니다.,숙소,3,2024-02-26 10:10:00
예약 취소 수수료는 어떻게 되나요?,숙소의 취소 규정에 따라 다릅니다. 예약 시 확인하신 취소 정책을 참고해 주세요.,숙소,4,2024-02-26 10:15:00
체크아웃 연장이 가능한가요?,레이트 체크아웃은 현장 상황에 따라 가능하며 추가 요금이 부과될 수 있습니다.,숙소,5,2024-02-26 10:20:00
숙소에 짐 보관 서비스가 있나요?,대부분의 호텔은 체크인 전/후 짐 보관 서비스를 제공합니다. 상세페이지를 확인하세요.,숙소,6,2024-02-26 10:25:00
조식 포함 여부를 어떻게 확인하나요?,예약 옵션명에 '조식 포함' 표기가 있는지 확인하시기 바랍니다.,숙소,7,2024-02-26 10:30:00
미성년자 투숙이 가능한가요?,만 19세 미만 미성년자는 보호자 동반 없이 투숙이 제한될 수 있으며 동의서가 필요합니다.,숙소,8,2024-02-26 10:35:00
객실 내 취사가 가능한가요?,펜션이나 리조트 등 취사 가능 객실로 명시된 경우에만 가능합니다.,숙소,9,2024-02-26 10:40:00
인원 추가 비용은 얼마인가요?,기준 인원 초과 시 현장에서 추가 비용이 발생하며 금액은 숙소별로 다릅니다.,숙소,10,2024-02-26 10:45:00
수영장 이용 시간이 궁금합니다,수영장 이용 시간은 숙소 안내 페이지 또는 체크인 시 제공되는 안내문을 참고하세요.,숙소,11,2024-02-26 10:50:00
주차 공간이 넉넉한가요?,숙소마다 주차 용량이 다르며 기계식 주차인 경우 대형 차량 입고가 제한될 수 있습니다.,숙소,12,2024-02-26 10:55:00
흡연 가능한 객실이 있나요?,대부분의 숙소는 금연 객실을 운영하며 흡연 시 과태료가 부과될 수 있습니다.,숙소,13,2024-02-26 11:00:00
예약 변경이 가능한가요?,일부 상품은 변경이 불가능하므로 취소 후 재예약을 하셔야 할 수도 있습니다.,숙소,14,2024-02-26 11:05:00
어메니티 구성이 궁금합니다,기본적으로 샴푸와 바디워시가 제공되나 칫솔 세트는 유료인 경우가 많습니다.,숙소,15,2024-02-26 11:10:00
와이파이 비밀번호는 어디 있나요?,객실 내 안내 책자나 TV 화면 또는 공유기 하단에 기재되어 있습니다.,숙소,16,2024-02-26 11:15:00
OTT 서비스(넷플릭스 등) 이용이 가능한가요?,스마트 TV가 설치된 객실에서는 개인 계정 로그인을 통해 이용 가능한 경우가 많습니다.,숙소,17,2024-02-26 11:20:00
연박 시 객실 청소는 언제 해주나요?,연박 시 매일 오전~오후 사이에 클리닝 서비스가 제공됩니다.,숙소,18,2024-02-26 11:25:00
공항 셔틀버스가 있나요?,일부 대형 호텔은 셔틀을 운영하므로 예약 상세 페이지의 교통 안내를 확인하세요.,숙소,19,2024-02-26 11:30:00
현장 결제가 가능한가요?,현장 결제 가능 옵션으로 예약하신 경우에만 숙소에서 결제가 가능합니다.,숙소,20,2024-02-26 11:35:00
맛집 예약은 필수인가요?,인기 매장의 경우 조기 마감될 수 있으므로 앱을 통한 사전 예약을 권장합니다.,맛집,1,2024-02-26 12:00:00
주차가 가능한 맛집인가요?,상세 페이지 하단의 '편의시설' 항목에서 주차 가능 여부를 확인하실 수 있습니다.,맛집,2,2024-02-26 12:05:00
노쇼 시 위약금이 있나요?,예약 시점에 안내된 위약금 규정에 따라 포인트 차감이나 결제 취소가 제한될 수 있습니다.,맛집,3,2024-02-26 12:10:00
단체석 예약이 가능한가요?,8인 이상의 단체 예약은 업체 측에 직접 유선 문의가 필요할 수 있습니다.,맛집,4,2024-02-26 12:15:00
콜키지 서비스 비용이 궁금합니다,콜키지 가능 여부와 병당 비용은 매장마다 다르므로 상세 페이지를 확인하세요.,맛집,5,2024-02-26 12:20:00
영업 시간과 브레이크 타임은 언제인가요?,매일 업데이트되는 정보를 제공하며 브레이크 타임 전 마지막 주문 시간을 주의하세요.,맛집,6,2024-02-26 12:25:00
당일 예약 취소가 가능한가요?,매장별 취소 마감 시간 이후 취소 시 예약금이 반환되지 않을 수 있습니다.,맛집,7,2024-02-26 12:30:00
아기 의자가 준비되어 있나요?,'유아용 의자 있음' 필터를 사용하여 해당 매장을 찾으실 수 있습니다.,맛집,8,2024-02-26 12:35:00
채식주의자(비건) 메뉴가 있나요?,메뉴판 정보에서 비건 옵션 여부를 확인하거나 검색 필터를 사용하세요.,맛집,9,2024-02-26 12:40:00
포장이 가능한가요?,테이크아웃 전용 메뉴가 있거나 포장 가능 여부가 표시된 매장에서 이용 가능합니다.,맛집,10,2024-02-26 12:45:00
대기 시간이 얼마나 되나요?,실시간 원격 줄서기 기능을 지원하는 매장은 대기 팀 수를 앱에서 확인할 수 있습니다.,맛집,11,2024-02-26 12:50:00
특정 식재료 알레르기가 있어요,예약 시 요청사항에 기재해 주시면 업체 측에 전달됩니다.,맛집,12,2024-02-26 12:55:00
외부 음식 반입이 가능한가요?,생일 케이크 등 일부 품목을 제외하고 외부 음식 반입은 금지됩니다.,맛집,13,2024-02-26 13:00:00
메뉴가 품절될 수도 있나요?,재료 소진 시 조기 마감되거나 특정 메뉴가 주문 불가능할 수 있습니다.,맛집,14,2024-02-26 13:05:00
애견 동반 식당인가요?,반려견 동반 가능 여부와 테라스 이용 필수 여부를 확인하세요.,맛집,15,2024-02-26 13:10:00
메뉴판 가격은 부가세 포함인가요?,앱에 노출되는 모든 가격은 부가세(VAT)가 포함된 최종 결제 금액입니다.,맛집,16,2024-02-26 13:15:00
현금 영수증 발행이 되나요?,매장에서 직접 결제 시 현금 영수증 발행을 요청하실 수 있습니다.,맛집,17,2024-02-26 13:20:00
런치 세트 운영 시간이 언제인가요?,보통 평일 오전 11시부터 오후 2시까지 운영되는 경우가 많습니다.,맛집,18,2024-02-26 13:25:00
쿠폰 사용 방법이 궁금합니다,결제 단계에서 보유하신 쿠폰을 적용하여 할인을 받으실 수 있습니다.,맛집,19,2024-02-26 13:30:00
리뷰 작성 혜택이 있나요?,리뷰 작성 시 다음 예약 때 사용할 수 있는 포인트를 적립해 드립니다.,맛집,20,2024-02-26 13:35:00
축제 티켓은 어디서 수령하나요?,예매 후 발급된 모바일 바코드를 현장 입구에서 제시하시면 입장이 가능합니다.,축제,1,2024-02-26 14:00:00
우천 시에도 축제가 진행되나요?,기상 악화 시 일정이 변경되거나 취소될 수 있으며 공지사항을 통해 안내드립니다.,축제,2,2024-02-26 14:05:00
축제장에 음식물 반입이 가능한가요?,축제 성격에 따라 다르며 주류나 캔 음료는 반입이 제한되는 경우가 많습니다.,축제,3,2024-02-26 14:10:00
재입장이 가능한가요?,입장 팔찌를 착용하고 있는 경우 당일에 한해 자유로운 재입장이 가능합니다.,축제,4,2024-02-26 14:15:00
주차장은 무료인가요?,축제장 전용 주차장은 유료인 경우가 많으며 대중교통 이용을 권장합니다.,축제,5,2024-02-26 14:20:00
셔틀버스가 운영되나요?,인근 지하철역이나 주요 지점에서 행사장까지 셔틀버스를 운행할 수 있습니다.,축제,6,2024-02-26 14:25:00
물품 보관소가 있나요?,중요 소지품 보관을 위한 유료 물품 보관함이 현장에 설치되어 있습니다.,축제,7,2024-02-26 14:30:00
아이와 함께 가기 좋은가요?,어린이 체험 존이나 유모차 대여소가 준비된 축제가 많으므로 필터를 확인하세요.,축제,8,2024-02-26 14:35:00
공연 촬영이 가능한가요?,개인 소장용 사진 촬영은 가능하나 전문 장비를 이용한 상업적 촬영은 제한됩니다.,축제,9,2024-02-26 14:40:00
돗자리를 사용해도 되나요?,지정된 피크닉 존에서만 사용 가능하며 통행을 방해하는 곳은 제한됩니다.,축제,10,2024-02-26 14:45:00
반려동물 입장이 가능한가요?,축제 종류에 따라 다르며 리드줄 착용과 배변 봉투 지참이 필수입니다.,축제,11,2024-02-26 14:50:00
티켓 취소 및 환불 규정은요?,행사 1일 전까지는 취소 수수료가 발생할 수 있으며 당일 환불은 불가합니다.,축제,12,2024-02-26 14:55:00
축제 일정표는 어디서 보나요?,상세 페이지 내 '프로그램 일정' 탭에서 시간대별 행사를 확인하세요.,축제,13,2024-02-26 15:00:00
기념품 판매처가 있나요?,행사장 내 굿즈 샵이나 지역 특산물 판매 부스가 운영됩니다.,축제,14,2024-02-26 15:05:00
휠체어 대여가 가능한가요?,운영 본부에서 휠체어 대여 서비스를 선착순으로 제공하는 경우가 많습니다.,축제,15,2024-02-26 15:10:00
라인업 변경 시 공지가 되나요?,출연진 사정에 따라 변동될 수 있으며 앱 알림을 통해 즉시 공지됩니다.,축제,16,2024-02-26 15:15:00
현장 예매도 가능한가요?,잔여 티켓이 있는 경우 현장에서 구매 가능하나 매진 시 판매되지 않습니다.,축제,17,2024-02-26 15:20:00
연령 제한이 있는 축제인가요?,주류 판매가 포함된 행사 등은 성인 인증이 필요하거나 입장이 제한됩니다.,축제,18,2024-02-26 15:25:00
흡연 구역이 따로 있나요?,축제장은 기본적으로 금연 구역이며 별도로 지정된 흡연 존에서만 가능합니다.,축제,19,2024-02-26 15:30:00
단체 할인 혜택이 있나요?,20인 이상 단체 예매의 경우 고객센터를 통해 별도 할인 문의가 가능합니다.,축제,20,2024-02-26 15:35:00